epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.643,1.17139,0.64303,0.93603,0.9282,0.89756,0.92434,0.58067,1.03406,0.44751,0.90258,0.00055393,0.00055393,0.00055393
2,618.684,1.04177,0.47243,0.90294,0.95729,0.90705,0.93756,0.59358,0.96319,0.41913,0.88744,0.00107527,0.00107527,0.00107527
3,922.948,0.9984,0.45363,0.89629,0.95307,0.87761,0.916,0.58766,0.95391,0.44784,0.88974,0.00156223,0.00156223,0.00156223
4,1224.56,0.95086,0.42698,0.88458,0.96405,0.92836,0.95115,0.63238,0.88421,0.3787,0.87562,0.00151228,0.00151228,0.00151228
5,1534.1,0.92285,0.41242,0.88017,0.97017,0.932,0.95767,0.65504,0.85312,0.36277,0.8683,0.00146071,0.00146071,0.00146071
6,1836.6,0.89949,0.39971,0.87447,0.97682,0.92104,0.95398,0.6512,0.84547,0.356,0.86472,0.00140914,0.00140914,0.00140914
7,2139.08,0.86668,0.38502,0.86699,0.9701,0.93195,0.95811,0.66761,0.82468,0.33924,0.85984,0.00135756,0.00135756,0.00135756
8,2445.59,0.85631,0.37592,0.8661,0.97263,0.93914,0.96465,0.67941,0.83549,0.33633,0.86228,0.00130599,0.00130599,0.00130599
9,2754.16,0.84159,0.37068,0.86436,0.96854,0.92499,0.95642,0.66533,0.80828,0.33565,0.85652,0.00125442,0.00125442,0.00125442
10,3058.08,0.83,0.36354,0.86198,0.97679,0.94407,0.96637,0.68672,0.79765,0.3256,0.85436,0.00120284,0.00120284,0.00120284
11,3366.65,0.81889,0.35695,0.86007,0.97832,0.9381,0.96471,0.67419,0.80545,0.32966,0.8572,0.00115127,0.00115127,0.00115127
12,3673.38,0.80501,0.34689,0.85545,0.98119,0.95439,0.97323,0.70379,0.76672,0.31079,0.84823,0.0010997,0.0010997,0.0010997
13,3982.84,0.79259,0.34121,0.85354,0.9807,0.95165,0.9749,0.71066,0.75075,0.30458,0.84563,0.00104813,0.00104813,0.00104813
14,4290.4,0.78069,0.33968,0.85181,0.98554,0.95063,0.97188,0.69871,0.75869,0.30952,0.84858,0.000996553,0.000996553,0.000996553
15,4599.98,0.77678,0.33613,0.85052,0.98314,0.95296,0.97406,0.69287,0.79159,0.32481,0.85385,0.000944981,0.000944981,0.000944981
16,4906.67,0.76702,0.32841,0.85157,0.98636,0.95517,0.97525,0.70754,0.74578,0.303,0.84613,0.000893408,0.000893408,0.000893408
17,5215.43,0.7553,0.32543,0.84649,0.98321,0.95682,0.97705,0.71494,0.73862,0.29544,0.84356,0.000841835,0.000841835,0.000841835
18,5523.57,0.7524,0.32283,0.84854,0.98336,0.95008,0.97239,0.70244,0.73564,0.2924,0.84341,0.000790262,0.000790262,0.000790262
19,5832.73,0.73895,0.31461,0.84621,0.98249,0.96427,0.97934,0.71687,0.73968,0.29231,0.84316,0.000738689,0.000738689,0.000738689
20,6142.23,0.7336,0.31325,0.84363,0.98762,0.96399,0.9822,0.72276,0.71825,0.28364,0.83992,0.000687117,0.000687117,0.000687117
21,6452.59,0.72157,0.30704,0.84134,0.9864,0.96565,0.98259,0.72408,0.7241,0.28418,0.84095,0.000635544,0.000635544,0.000635544
22,6762.45,0.71957,0.30498,0.84188,0.98727,0.96714,0.98409,0.73066,0.70961,0.27897,0.83934,0.000583971,0.000583971,0.000583971
23,7065.78,0.71865,0.29765,0.8543,0.9912,0.9619,0.98098,0.72452,0.7229,0.28302,0.84163,0.000532398,0.000532398,0.000532398
24,7368.26,0.7138,0.29523,0.85176,0.98677,0.96873,0.98285,0.73303,0.7154,0.28566,0.84003,0.000480825,0.000480825,0.000480825
25,7676.01,0.7007,0.28686,0.84974,0.98866,0.96426,0.98372,0.73768,0.70645,0.27997,0.83722,0.000429253,0.000429253,0.000429253
26,7977.27,0.69249,0.28333,0.8472,0.98882,0.96652,0.98291,0.73626,0.69954,0.2724,0.83636,0.00037768,0.00037768,0.00037768
27,8278.21,0.68397,0.27717,0.84605,0.98795,0.9691,0.98626,0.74009,0.69151,0.26755,0.83507,0.000326107,0.000326107,0.000326107
28,8580.56,0.67407,0.2729,0.84593,0.98877,0.97192,0.98598,0.74217,0.68765,0.26631,0.83552,0.000274534,0.000274534,0.000274534
29,8882.87,0.66217,0.26655,0.84182,0.99195,0.96663,0.98567,0.74641,0.68111,0.26148,0.83377,0.000222961,0.000222961,0.000222961
30,9184.83,0.65663,0.26148,0.8409,0.99045,0.97021,0.98771,0.75043,0.67532,0.25836,0.83269,0.000171388,0.000171388,0.000171388
31,9493.45,0.64622,0.25682,0.8402,0.99072,0.97206,0.98778,0.75179,0.67326,0.25547,0.83261,0.000119816,0.000119816,0.000119816
32,9802.67,0.63465,0.25144,0.83657,0.98761,0.97365,0.98842,0.75228,0.66692,0.25146,0.83139,6.82428e-05,6.82428e-05,6.82428e-05
